"SEX" "LENGTH" "DIAM" "HEIGHT" "WHOLE" "SHUCK" "VISCERA" "SHELL" "RINGS" "CLASS"
"1780" "M" 0.6 0.495 0.175 1.3005 0.6195 0.284 0.3285 11 "A4"
"2732" "M" 0.535 0.43 0.155 0.7845 0.3285 0.169 0.245 10 "A3"
"212" "F" 0.415 0.325 0.105 0.38 0.1595 0.0785 0.12 12 "A4"
"1358" "M" 0.61 0.48 0.17 1.137 0.4565 0.29 0.347 10 "A3"
"4071" "F" 0.72 0.59 0.205 1.7495 0.7755 0.4225 0.48 11 "A4"
"3197" "F" 0.42 0.32 0.13 0.4135 0.1645 0.106 0.119 10 "A3"
"910" "I" 0.34 0.25 0.07 0.2225 0.104 0.0425 0.055 7 "A2"
"1354" "M" 0.61 0.45 0.15 0.871 0.407 0.1835 0.25 10 "A3"
"3276" "I" 0.6 0.445 0.175 1.057 0.383 0.216 0.355 16 "A6"
"3263" "F" 0.495 0.375 0.15 0.597 0.2615 0.135 0.178 11 "A4"
"1131" "M" 0.57 0.46 0.15 1.0375 0.5415 0.2035 0.25 9 "A3"
"562" "F" 0.475 0.35 0.115 0.452 0.1715 0.092 0.155 11 "A4"
"2688" "I" 0.29 0.215 0.065 0.0985 0.0425 0.021 0.031 5 "A1"
"397" "M" 0.47 0.38 0.145 0.5865 0.2385 0.144 0.185 8 "A2"
"129" "M" 0.71 0.54 0.165 1.959 0.7665 0.261 0.78 18 "A6"
"3813" "M" 0.445 0.37 0.125 0.515 0.2495 0.087 0.159 9 "A3"
"134" "I" 0.265 0.2 0.065 0.0975 0.04 0.0205 0.028 7 "A2"
"1291" "I" 0.53 0.415 0.11 0.5745 0.2525 0.1235 0.189 9 "A3"
"3489" "I" 0.215 0.15 0.055 0.041 0.015 0.009 0.0125 3 "A1"
"2353" "M" 0.34 0.275 0.09 0.2065 0.0725 0.043 0.07 10 "A3"
"1091" "I" 0.46 0.35 0.115 0.4155 0.18 0.098 0.1175 7 "A2"
"2811" "F" 0.58 0.445 0.135 0.95 0.484 0.182 0.2325 8 "A2"
"3177" "I" 0.295 0.215 0.075 0.116 0.037 0.0295 0.04 8 "A2"
"1197" "M" 0.725 0.505 0.185 1.978 1.026 0.4255 0.4505 12 "A4"
"1875" "I" 0.565 0.46 0.155 0.8715 0.3755 0.215 0.25 10 "A3"
"2654" "F" 0.615 0.47 0.155 1.084 0.5885 0.209 0.246 9 "A3"
"2441" "M" 0.515 0.405 0.14 0.8505 0.312 0.146 0.315 17 "A6"
"2449" "M" 0.565 0.44 0.175 1.122 0.393 0.2 0.375 20 "A6"
"3718" "I" 0.475 0.355 0.135 0.4775 0.2145 0.09 0.1435 8 "A2"
"1577" "I" 0.525 0.4 0.14 0.654 0.305 0.16 0.169 7 "A2"
"454" "F" 0.645 0.55 0.175 1.2915 0.57 0.3045 0.33 14 "A5"
"1999" "M" 0.505 0.395 0.135 0.5915 0.288 0.1315 0.185 12 "A4"
"855" "M" 0.59 0.475 0.165 1.077 0.4545 0.244 0.3095 9 "A3"
"1847" "I" 0.52 0.38 0.115 0.6645 0.3285 0.17 0.1425 7 "A2"
"1406" "F" 0.7 0.545 0.13 1.556 0.6725 0.374 0.195 12 "A4"
"3732" "F" 0.555 0.44 0.14 0.846 0.346 0.1715 0.2735 10 "A3"
"1474" "F" 0.605 0.485 0.16 1.201 0.417 0.2875 0.38 9 "A3"
"870" "F" 0.62 0.505 0.16 1.3725 0.6285 0.275 0.3685 11 "A4"
"4128" "I" 0.39 0.31 0.085 0.344 0.181 0.0695 0.079 7 "A2"
"518" "M" 0.325 0.23 0.09 0.147 0.06 0.034 0.045 4 "A1"
"3667" "M" 0.65 0.525 0.19 1.3685 0.5975 0.296 0.4 11 "A4"
"1952" "M" 0.675 0.515 0.15 1.312 0.556 0.2845 0.4115 11 "A4"
"618" "M" 0.31 0.225 0.075 0.1295 0.0455 0.0335 0.044 9 "A3"
"4023" "F" 0.695 0.56 0.185 1.7715 0.8195 0.331 0.437 10 "A3"
"3733" "M" 0.555 0.46 0.16 0.86 0.3345 0.1935 0.275 10 "A3"
"2532" "I" 0.34 0.265 0.07 0.185 0.0625 0.0395 0.07 7 "A2"
"1586" "I" 0.54 0.43 0.14 0.8195 0.3935 0.1725 0.2295 9 "A3"
"1224" "I" 0.365 0.27 0.085 0.196 0.0825 0.0375 0.06 7 "A2"
"3159" "M" 0.72 0.575 0.23 2.2695 0.8835 0.3985 0.665 16 "A6"
"544" "F" 0.38 0.29 0.105 0.257 0.099 0.051 0.085 10 "A3"
"729" "F" 0.52 0.4 0.12 0.6515 0.261 0.2015 0.165 15 "A6"
"3389" "F" 0.58 0.48 0.18 1.2495 0.4945 0.27 0.371 8 "A2"
"1165" "F" 0.62 0.48 0.16 1.1125 0.5635 0.2445 0.281 8 "A2"
"1373" "F" 0.625 0.515 0.16 1.264 0.5715 0.326 0.321 9 "A3"
"2961" "M" 0.555 0.425 0.15 0.873 0.4625 0.1845 0.1965 9 "A3"
"731" "M" 0.545 0.42 0.13 0.879 0.374 0.1695 0.23 13 "A5"
"68" "F" 0.475 0.39 0.12 0.5305 0.2135 0.1155 0.17 10 "A3"
"1535" "I" 0.39 0.285 0.1 0.281 0.1275 0.062 0.077 7 "A2"
"1823" "I" 0.435 0.335 0.1 0.3245 0.135 0.0785 0.098 7 "A2"
"1591" "I" 0.545 0.4 0.13 0.686 0.3285 0.1455 0.18 9 "A3"
"1293" "I" 0.535 0.4 0.135 0.6025 0.2895 0.121 0.154 9 "A3"
"3266" "M" 0.59 0.45 0.12 0.7485 0.3345 0.1315 0.22 14 "A5"
"1715" "M" 0.665 0.52 0.175 1.3725 0.606 0.32 0.395 12 "A4"
"2011" "M" 0.58 0.46 0.16 1.063 0.513 0.2705 0.2625 9 "A3"
"3630" "I" 0.55 0.45 0.14 0.753 0.3445 0.1325 0.24 8 "A2"
"4116" "I" 0.35 0.25 0.075 0.1695 0.0835 0.0355 0.041 6 "A1"
"787" "M" 0.495 0.385 0.135 0.709 0.211 0.1375 0.262 12 "A4"
"1162" "F" 0.615 0.475 0.155 1.027 0.447 0.25 0.285 9 "A3"
"4083" "M" 0.65 0.525 0.185 1.3455 0.586 0.278 0.3865 9 "A3"
"2200" "M" 0.58 0.465 0.175 1.035 0.401 0.1865 0.385 17 "A6"
"2861" "I" 0.51 0.4 0.125 0.5935 0.239 0.13 0.204 8 "A2"
"1402" "F" 0.67 0.505 0.175 1.0145 0.4375 0.271 0.3745 10 "A3"
"2891" "I" 0.6 0.445 0.135 0.9205 0.445 0.2035 0.253 9 "A3"
"2021" "I" 0.285 0.215 0.07 0.1075 0.051 0.0225 0.027 6 "A1"
"3433" "F" 0.625 0.47 0.17 1.255 0.525 0.2415 0.405 10 "A3"
"696" "I" 0.155 0.105 0.05 0.0175 0.005 0.0035 0.005 4 "A1"
"1060" "I" 0.275 0.195 0.065 0.106 0.054 0.02 0.028 6 "A1"
"357" "F" 0.645 0.525 0.19 1.8085 0.7035 0.3885 0.395 18 "A6"
"790" "F" 0.57 0.465 0.16 0.8935 0.3145 0.2575 0.263 10 "A3"
"4121" "M" 0.475 0.37 0.11 0.4895 0.2185 0.107 0.146 8 "A2"
"1112" "I" 0.525 0.4 0.13 0.6455 0.325 0.1245 0.17 8 "A2"
"2722" "I" 0.505 0.385 0.125 0.596 0.245 0.097 0.21 9 "A3"
"2945" "M" 0.72 0.58 0.19 2.0885 0.9955 0.478 0.5305 13 "A5"
"396" "F" 0.5 0.395 0.14 0.7155 0.3165 0.176 0.24 10 "A3"
"898" "I" 0.295 0.23 0.08 0.1625 0.065 0.05 0.0385 5 "A1"
"1014" "F" 0.625 0.485 0.2 1.38 0.5845 0.302 0.401 9 "A3"
"4044" "M" 0.55 0.385 0.13 0.7275 0.343 0.1625 0.19 8 "A2"
"442" "F" 0.505 0.425 0.14 0.85 0.275 0.1625 0.285 19 "A6"
"3710" "I" 0.275 0.205 0.065 0.101 0.041 0.021 0.034 5 "A1"
"3689" "I" 0.47 0.355 0.12 0.4915 0.1765 0.1125 0.1325 9 "A3"
"513" "M" 0.31 0.22 0.085 0.146 0.061 0.0365 0.045 6 "A1"
"3385" "F" 0.49 0.37 0.105 0.5265 0.249 0.1005 0.148 7 "A2"
"2155" "F" 0.57 0.45 0.17 1.098 0.414 0.187 0.405 20 "A6"
"1478" "M" 0.62 0.485 0.155 1.049 0.462 0.231 0.25 10 "A3"
"1681" "M" 0.63 0.495 0.175 1.2695 0.605 0.271 0.328 11 "A4"
"4119" "I" 0.435 0.33 0.095 0.393 0.219 0.075 0.0885 6 "A1"
"309" "M" 0.57 0.435 0.145 0.9055 0.3925 0.2355 0.275 10 "A3"
"1267" "I" 0.475 0.36 0.11 0.492 0.211 0.11 0.15 8 "A2"
"2541" "I" 0.44 0.355 0.12 0.495 0.231 0.11 0.125 7 "A2"
"1183" "M" 0.685 0.52 0.165 1.519 0.699 0.3685 0.4 10 "A3"
"3102" "M" 0.675 0.505 0.16 1.532 0.74 0.357 0.3815 11 "A4"
"803" "I" 0.37 0.275 0.1 0.22 0.094 0.045 0.065 7 "A2"
"1857" "F" 0.54 0.425 0.16 0.9455 0.3675 0.2005 0.295 9 "A3"
"1029" "F" 0.645 0.515 0.15 1.212 0.515 0.2055 0.385 10 "A3"
"716" "I" 0.29 0.205 0.07 0.0975 0.036 0.019 0.035 8 "A2"
"3542" "F" 0.6 0.47 0.17 1.0805 0.4995 0.2245 0.3205 9 "A3"
"1199" "M" 0.735 0.585 0.185 2.124 0.952 0.55 0.5 11 "A4"
"1782" "M" 0.605 0.475 0.175 1.2525 0.5575 0.3055 0.343 9 "A3"
"105" "F" 0.52 0.41 0.155 0.727 0.291 0.1835 0.235 12 "A4"
"2038" "I" 0.48 0.35 0.135 0.5465 0.2735 0.0995 0.158 8 "A2"
"2397" "F" 0.465 0.36 0.12 0.4765 0.192 0.1125 0.16 10 "A3"
"2218" "F" 0.46 0.36 0.115 0.4755 0.2105 0.105 0.16 8 "A2"
"3807" "M" 0.5 0.42 0.125 0.62 0.255 0.15 0.205 11 "A4"
"3313" "M" 0.43 0.33 0.095 0.34 0.1315 0.085 0.112 14 "A5"
"2328" "F" 0.515 0.435 0.17 0.631 0.2765 0.111 0.216 12 "A4"
"1126" "M" 0.56 0.445 0.16 0.8965 0.42 0.2175 0.2215 8 "A2"
"1442" "I" 0.48 0.36 0.125 0.542 0.2795 0.1025 0.147 7 "A2"
"596" "F" 0.55 0.43 0.14 0.7135 0.2565 0.186 0.225 9 "A3"
"3202" "M" 0.41 0.325 0.12 0.3745 0.158 0.081 0.125 12 "A4"
"3537" "I" 0.58 0.47 0.15 0.907 0.444 0.1855 0.2445 11 "A4"
"2092" "M" 0.525 0.405 0.13 0.7185 0.3265 0.1975 0.175 8 "A2"
"1223" "I" 0.365 0.27 0.085 0.1875 0.081 0.042 0.058 6 "A1"
"3696" "M" 0.515 0.37 0.115 0.6145 0.3415 0.155 0.146 9 "A3"
"3854" "F" 0.575 0.45 0.1 0.9315 0.431 0.222 0.235 12 "A4"
"2271" "I" 0.34 0.26 0.09 0.179 0.076 0.0525 0.055 6 "A1"
"401" "M" 0.515 0.455 0.135 0.7225 0.295 0.1625 0.235 9 "A3"
"1804" "M" 0.72 0.56 0.18 1.5865 0.691 0.375 0.4425 11 "A4"
"369" "F" 0.69 0.56 0.215 1.719 0.68 0.299 0.47 17 "A6"
"3903" "M" 0.53 0.425 0.11 0.739 0.237 0.161 0.295 13 "A5"
"1048" "M" 0.715 0.565 0.175 1.9525 0.7645 0.4185 0.4135 10 "A3"
"2161" "M" 0.55 0.43 0.16 0.9295 0.317 0.1735 0.355 13 "A5"
"2707" "I" 0.415 0.335 0.1 0.358 0.169 0.067 0.105 7 "A2"
"613" "I" 0.495 0.37 0.125 0.4775 0.185 0.0705 0.169 18 "A6"
"3204" "F" 0.61 0.48 0.19 1.2955 0.5215 0.3225 0.365 12 "A4"
"2619" "I" 0.485 0.375 0.13 0.5535 0.266 0.112 0.157 8 "A2"
"2810" "M" 0.58 0.445 0.16 0.984 0.49 0.201 0.27 9 "A3"
"3781" "I" 0.46 0.34 0.1 0.386 0.1805 0.0875 0.0965 8 "A2"
"1323" "I" 0.57 0.44 0.13 0.7665 0.347 0.1785 0.202 10 "A3"
"2486" "I" 0.415 0.315 0.105 0.33 0.1405 0.0705 0.095 6 "A1"
"4067" "M" 0.68 0.545 0.185 1.672 0.7075 0.364 0.48 11 "A4"
"3815" "M" 0.385 0.3 0.115 0.3435 0.1645 0.085 0.1025 6 "A1"
"888" "F" 0.685 0.54 0.16 1.6675 0.833 0.3775 0.475 11 "A4"
"215" "M" 0.55 0.405 0.14 0.8025 0.244 0.1635 0.255 10 "A3"
"873" "F" 0.625 0.49 0.2 1.3825 0.5895 0.285 0.381 11 "A4"
"3281" "F" 0.62 0.485 0.165 1.166 0.483 0.238 0.355 13 "A5"
"2992" "I" 0.45 0.33 0.115 0.365 0.14 0.0825 0.1245 8 "A2"
"2754" "M" 0.59 0.475 0.14 0.977 0.4625 0.2025 0.275 10 "A3"
"571" "I" 0.45 0.345 0.135 0.443 0.1975 0.0875 0.1175 14 "A5"
"460" "M" 0.38 0.285 0.1 0.2665 0.115 0.061 0.075 11 "A4"
"3588" "F" 0.64 0.5 0.17 1.2645 0.565 0.3375 0.315 9 "A3"
"3924" "F" 0.61 0.5 0.18 1.438 0.5185 0.3735 0.3345 9 "A3"
"1708" "M" 0.66 0.5 0.165 1.3195 0.667 0.269 0.341 9 "A3"
"608" "M" 0.37 0.285 0.1 0.228 0.0675 0.0675 0.081 10 "A3"
"2151" "I" 0.215 0.15 0.03 0.0385 0.0115 0.005 0.01 5 "A1"
"996" "M" 0.59 0.47 0.16 1.206 0.479 0.2425 0.309 8 "A2"
"846" "F" 0.545 0.44 0.135 0.9185 0.429 0.2015 0.2375 10 "A3"
"2540" "I" 0.44 0.325 0.1 0.4165 0.185 0.0865 0.11 6 "A1"
"1039" "M" 0.67 0.525 0.165 1.6085 0.682 0.3145 0.4005 11 "A4"
"2976" "F" 0.655 0.505 0.175 1.2905 0.6205 0.2965 0.326 10 "A3"
"345" "M" 0.49 0.39 0.14 0.707 0.2795 0.2185 0.18 13 "A5"
"3017" "I" 0.575 0.445 0.16 0.9175 0.45 0.1935 0.24 9 "A3"
"1569" "I" 0.515 0.35 0.105 0.4745 0.213 0.123 0.1275 10 "A3"
"2773" "M" 0.64 0.495 0.17 1.139 0.5395 0.282 0.285 10 "A3"
"2429" "M" 0.35 0.26 0.09 0.198 0.0725 0.056 0.06 10 "A3"
"1630" "F" 0.585 0.445 0.14 0.913 0.4305 0.2205 0.253 10 "A3"
"2299" "M" 0.49 0.395 0.135 0.5545 0.213 0.0925 0.215 14 "A5"
"2" "M" 0.35 0.265 0.09 0.2255 0.0995 0.0485 0.07 7 "A2"
"796" "M" 0.53 0.41 0.155 0.7155 0.2805 0.1685 0.214 11 "A4"
"3852" "F" 0.46 0.375 0.12 0.4915 0.2205 0.088 0.17 7 "A2"
"788" "F" 0.505 0.39 0.16 0.644 0.2475 0.2025 0.1635 9 "A3"
"3867" "F" 0.525 0.43 0.125 0.813 0.3315 0.166 0.1775 12 "A4"
"1127" "F" 0.56 0.44 0.155 0.6405 0.336 0.1765 0.245 8 "A2"
"2516" "M" 0.66 0.535 0.2 1.791 0.733 0.318 0.54 15 "A6"
"3411" "I" 0.465 0.37 0.1 0.5055 0.234 0.11 0.14 7 "A2"
"424" "I" 0.26 0.2 0.07 0.092 0.037 0.02 0.03 6 "A1"
"467" "M" 0.655 0.53 0.195 1.388 0.567 0.2735 0.41 13 "A5"
"2479" "F" 0.33 0.26 0.08 0.2 0.0625 0.05 0.07 9 "A3"
"4079" "F" 0.57 0.45 0.15 0.9645 0.531 0.189 0.209 9 "A3"
"3048" "F" 0.68 0.52 0.185 1.494 0.615 0.3935 0.406 11 "A4"
"3547" "F" 0.6 0.485 0.145 0.776 0.3545 0.1585 0.239 9 "A3"
"258" "F" 0.635 0.505 0.17 1.415 0.605 0.297 0.365 15 "A6"
"1678" "F" 0.63 0.5 0.18 1.1965 0.514 0.2325 0.3995 8 "A2"
"2560" "M" 0.53 0.41 0.14 0.681 0.3095 0.1415 0.1835 6 "A1"
"318" "F" 0.58 0.455 0.155 0.8365 0.315 0.1385 0.32 18 "A6"
"4054" "M" 0.61 0.365 0.155 1.0765 0.488 0.249 0.27 9 "A3"
"923" "I" 0.425 0.315 0.1 0.377 0.1645 0.072 0.105 6 "A1"
"181" "M" 0.64 0.51 0.175 1.368 0.515 0.266 0.57 21 "A6"
"2501" "F" 0.565 0.44 0.15 0.983 0.4475 0.2355 0.2485 9 "A3"
"2866" "F" 0.535 0.445 0.125 0.8725 0.417 0.199 0.24 8 "A2"
